,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
63,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: BIG | Антверпен 2022, BIG | Антверпен 2022, BIG | Антверпен 2022, tabseN | Антверпен 202263",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | BIG | Антверпен 2022,Наклейка | BIG | Антверпен 2022,Наклейка | BIG | Антверпен 2022,Наклейка | tabseN | Антверпен 2022,1.43
64,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: BIG | РМР 2020, Spirit | РМР 202064",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | BIG | РМР 2020,Наклейка | Spirit | РМР 2020,,,1.46
65,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Vitality | РМР 202065,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Vitality | РМР 2020,,,,1.44
66,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Vitality | РМР 202066,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Vitality | РМР 2020,,,,1.43
67,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: FURIA | Стокгольм 202167,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | FURIA | Стокгольм 2021,,,,1.43
68,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Brehze | Берлин 2019, Krad | Берлин 201968",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Brehze | Берлин 2019,Наклейка | Krad | Берлин 2019,,,1.47
69,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: stavn | Стокгольм 2021, Evil Geniuses | РМР 2020, FaZe | РМР 2020, PGL | Стокгольм 202169",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | stavn | Стокгольм 2021,Наклейка | Evil Geniuses | РМР 2020,Наклейка | FaZe | РМР 2020,Наклейка | PGL | Стокгольм 2021,1.45
70,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: GODSENT | Атланта 201770,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | GODSENT | Атланта 2017,,,,1.42
71,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: IHC Esports (блёстки) | Антверпен 2022, FaZe Clan | Стокгольм 2021, Natus Vincere | Стокгольм 2021, Techno4K | Антверпен 202271",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | IHC Esports (блёстки) | Антверпен 2022,Наклейка | FaZe Clan | Стокгольм 2021,Наклейка | Natus Vincere | Стокгольм 2021,Наклейка | Techno4K | Антверпен 2022,1.45
72,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: blameF (блёстки) | Антверпен 2022, blameF (блёстки) | Антверпен 2022, blameF (блёстки) | Антверпен 2022, blameF (блёстки) | Антверпен 202272",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | blameF (блёстки) | Антверпен 2022,Наклейка | blameF (блёстки) | Антверпен 2022,Наклейка | blameF (блёстки) | Антверпен 2022,Наклейка | blameF (блёстки) | Антверпен 2022,1.43
73,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Лямбда, Virtus.pro | РМР 2020, Vitality | РМР 202073",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Лямбда,Наклейка | Virtus.pro | РМР 2020,Наклейка | Vitality | РМР 2020,,1.44
74,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: SmithZz | Кёльн 201674,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | SmithZz | Кёльн 2016,,,,1.42
75,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Astralis | Антверпен 2022, Astralis | Антверпен 2022, Astralis | Антверпен 2022, drop (голографическая) | Стокгольм 202175",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Astralis | Антверпен 2022,Наклейка | Astralis | Антверпен 2022,Наклейка | Astralis | Антверпен 2022,Наклейка | drop (голографическая) | Стокгольм 2021,1.42
76,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Astralis | Антверпен 2022, Astralis | Антверпен 2022, Astralis | Антверпен 2022, drop (голографическая) | Стокгольм 202176",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Astralis | Антверпен 2022,Наклейка | Astralis | Антверпен 2022,Наклейка | Astralis | Антверпен 2022,Наклейка | drop (голографическая) | Стокгольм 2021,1.42
77,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Полный комплект, Полный комплект, Полный комплект, Полный комплект77",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Полный комплект,Наклейка | Полный комплект,Наклейка | Полный комплект,Наклейка | Полный комплект,1.42
78,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: m0NESY (блёстки) | Антверпен 2022, m0NESY (блёстки) | Антверпен 2022, m0NESY | Антверпен 2022, Cloud9 | Антверпен 202278",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | m0NESY (блёстки) | Антверпен 2022,Наклейка | m0NESY (блёстки) | Антверпен 2022,Наклейка | m0NESY | Антверпен 2022,Наклейка | Cloud9 | Антверпен 2022,1.42
79,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Каменная чешуя, Древний защитник79",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Каменная чешуя,Наклейка | Древний защитник,,,1.45
